City,State,Longitude,Latitude
Juneau,Alaska,-134.419734,58.3019496
Phoenix,Arizona,-112.0741417,33.4484367
Little Rock,Arkansas,-92.2895948,34.7464809
Sacramento,California,-121.4943996,38.5815719
Denver,Colorado,-104.9848623,39.7392364
Hartford,Connecticut,-72.6908547,41.764582
Dover,Delaware,1.3134228,51.1251275
Tallahassee,Florida,-84.2809332,30.4380832
Atlanta,Georgia,-84.3901849,33.7490987
Honolulu,Hawaii,-157.8556764,21.304547
Boise,Idaho,-116.200886,43.6166163
Springfield,Illinois,-89.6439575,39.7990175
Indianapolis,Indiana,-86.1583502,39.7683331
Des Moines,Iowa,-93.6037149,41.5910641
Topeka,Kansas,-95.677556,39.049011
Frankfort,Kentucky,8.6820917,50.1106444
Baton Rouge,Louisiana,-91.18738,30.4459596
Augusta,Maine,-81.9748429,33.4709714
Annapolis,Maryland,-76.492786,38.9786401
Boston,Massachusetts,-71.0582912,42.3602534
Lansing,Michigan,-84.5553805,42.7337712
Saint Paul,Minnesota,2.0100016,49.4318046
Jackson,Mississippi,-90.1847691,32.2990384
Jefferson City,Missouri,-92.1724265,38.577359
Helena,Montana,-112.0362771,46.5927425
Lincoln,Nebraska,-118.414727,47.8299069
Carson City,Nevada,-119.7666496,39.1649125
Concord,New Hampshire,-71.537476,43.207178
Trenton,New Jersey,-74.7429463,40.2170575
Santa Fe,New Mexico,-61.1645076,-30.3154739
Albany,New York,-73.754968,42.6511674
Raleigh,North Carolina,-78.6390989,35.7803977
Bismarck,North Dakota,-100.783739,46.808327
Columbus,Ohio,-83.0007065,39.9622601
Oklahoma City,Oklahoma,-97.5170536,35.4729886
Salem,Oregon,-123.033121,44.9391565
Harrisburg,Pennsylvania,-76.8861122,40.2663107
Providence,Rhode Island,-71.4128343,41.8239891
Columbia,South Carolina,-73.783892,2.8894434
Pierre,South Dakota,5.94734,45.2942
Nashville,Tennessee,-86.7743531,36.1622296
Austin,Texas,-97.7436995,30.2711286
Salt Lake City,Utah,-111.8867975,40.7596198
Montpelier,Vermont,3.8767337,43.6112422
Richmond,Virginia,-77.43428,37.5385087
Olympia,Washington,21.630148164147787,37.638195100000004
Charleston,West Virginia,-79.9402728,32.7876012
Madison,Wisconsin,-89.3837613,43.074761
Cheyenne,Wyoming,-104.820246,41.139981
